id,date,score,target
1,2020-02-07,464,1
2,2020-01-13,501,1
3,2020-03-09,444,1
4,2020-03-19,497,1
5,2020-02-13,507,1
6,2020-02-28,342,1
7,2020-02-29,516,1
8,2020-02-15,477,1
9,2020-02-06,441,1
10,2020-02-25,459,1
11,2020-03-22,537,1
12,2020-02-06,441,1
13,2020-02-04,420,1
14,2020-03-10,471,1
15,2020-01-23,368,1
16,2020-03-25,431,1
17,2020-02-03,424,1
18,2020-03-19,457,1
19,2020-01-14,495,1
20,2020-03-07,430,1
21,2020-03-13,521,1
22,2020-03-28,440,1
23,2020-03-21,527,1
24,2020-02-02,519,1
25,2020-03-25,452,1
26,2020-01-10,476,1
27,2020-02-15,466,1
28,2020-01-11,447,1
29,2020-02-20,424,1
30,2020-03-02,491,1
31,2020-03-19,359,1
32,2020-01-03,498,1
33,2020-01-05,495,1
34,2020-03-07,441,1
35,2020-03-01,443,1
36,2020-01-05,429,1
37,2020-01-13,461,1
38,2020-02-03,551,1
39,2020-02-29,477,1
40,2020-03-14,446,1
41,2020-01-05,421,1
42,2020-01-26,489,1
43,2020-01-02,540,1
44,2020-03-17,405,1
45,2020-01-29,544,1
46,2020-01-05,480,1
47,2020-01-06,417,1
48,2020-02-10,462,1
49,2020-02-09,419,1
50,2020-03-28,425,1
51,2020-02-06,560,1
52,2020-03-28,509,1
53,2020-02-01,414,1
54,2020-02-17,495,1
55,2020-01-18,404,1
56,2020-03-26,404,1
57,2020-02-20,458,1
58,2020-03-28,428,1
59,2020-03-03,512,1
60,2020-03-19,485,1
61,2020-03-04,560,1
62,2020-01-02,451,1
63,2020-03-03,454,1
64,2020-03-26,473,1
65,2020-02-27,520,1
66,2020-03-18,432,1
67,2020-01-16,466,1
68,2020-03-05,445,1
69,2020-01-07,454,1
70,2020-03-02,462,1
71,2020-02-17,376,1
72,2020-03-02,380,1
73,2020-03-10,481,1
74,2020-02-25,470,1
75,2020-02-05,525,1
76,2020-01-01,433,1
77,2020-01-14,407,1
78,2020-01-30,431,1
79,2020-02-08,417,1
80,2020-03-03,501,1
81,2020-02-23,439,1
82,2020-03-19,435,1
83,2020-03-20,407,1
84,2020-03-27,460,1
85,2020-03-15,504,1
86,2020-02-19,554,1
87,2020-01-06,437,1
88,2020-01-20,436,1
89,2020-02-22,447,1
90,2020-03-02,418,1
91,2020-02-18,501,1
92,2020-02-28,477,1
93,2020-01-08,443,1
94,2020-02-29,468,1
95,2020-03-27,377,1
96,2020-03-22,431,1
97,2020-02-24,467,1
98,2020-02-11,407,1
99,2020-02-21,412,1
100,2020-03-29,454,1
101,2020-03-06,447,1
102,2020-01-07,425,1
103,2020-03-16,366,1
104,2020-03-14,528,1
105,2020-01-07,411,1
106,2020-01-14,411,1
107,2020-02-19,431,1
108,2020-02-19,358,1
109,2020-02-08,498,1
110,2020-03-22,384,1
111,2020-03-09,456,1
112,2020-02-05,442,1
113,2020-03-24,435,1
114,2020-01-16,446,1
115,2020-02-19,469,1
116,2020-02-14,494,1
117,2020-03-31,478,1
118,2020-01-16,458,1
119,2020-02-20,419,1
120,2020-02-06,467,1
121,2020-03-09,485,1
122,2020-03-11,494,1
123,2020-03-10,484,1
124,2020-02-28,479,1
125,2020-03-20,450,1
126,2020-01-02,387,1
127,2020-02-29,350,1
128,2020-03-26,556,1
129,2020-01-25,459,1
130,2020-01-12,424,1
131,2020-03-31,508,1
132,2020-01-22,438,1
133,2020-01-10,443,1
134,2020-03-22,452,1
135,2020-02-29,412,1
136,2020-03-13,470,1
137,2020-02-22,443,1
138,2020-02-23,349,1
139,2020-03-16,389,1
140,2020-03-26,408,1
141,2020-02-25,413,1
142,2020-02-29,435,1
143,2020-01-12,396,1
144,2020-02-15,474,1
145,2020-02-19,480,1
146,2020-03-08,533,1
147,2020-03-25,445,1
148,2020-02-07,490,1
149,2020-03-09,533,1
150,2020-02-21,453,1
151,2020-02-20,414,1
152,2020-03-23,442,1
153,2020-02-21,469,1
154,2020-03-19,449,1
155,2020-01-29,487,1
156,2020-02-18,508,1
157,2020-01-13,437,1
158,2020-03-31,516,1
159,2020-03-13,439,1
160,2020-02-15,484,1
161,2020-01-13,459,1
162,2020-03-08,466,1
163,2020-01-18,500,1
164,2020-02-19,481,1
165,2020-02-06,402,1
166,2020-01-08,475,1
167,2020-03-09,414,1
168,2020-02-08,455,1
169,2020-01-31,463,1
170,2020-01-03,451,1
171,2020-03-25,504,1
172,2020-02-03,382,1
173,2020-02-13,424,1
174,2020-01-12,418,1
175,2020-01-25,393,1
176,2020-01-09,465,1
177,2020-03-28,409,1
178,2020-01-26,460,1
179,2020-03-23,359,1
180,2020-02-11,465,1
181,2020-03-09,397,1
182,2020-01-02,456,1
183,2020-03-24,434,1
184,2020-01-03,438,1
185,2020-02-02,474,1
186,2020-02-29,441,1
187,2020-01-06,461,1
188,2020-02-12,421,1
189,2020-01-29,476,1
190,2020-01-05,470,1
191,2020-02-05,474,1
192,2020-03-02,402,1
193,2020-01-31,563,1
194,2020-01-15,441,1
195,2020-02-16,388,1
196,2020-01-10,400,1
197,2020-02-20,405,1
198,2020-03-20,404,1
199,2020-02-03,457,1
200,2020-03-18,465,1
201,2020-02-28,407,1
202,2020-01-20,398,1
203,2020-03-26,426,1
204,2020-01-16,434,1
205,2020-03-22,444,1
206,2020-01-17,439,1
207,2020-03-27,437,1
208,2020-02-12,418,1
209,2020-03-17,458,1
210,2020-03-03,473,1
211,2020-01-10,411,1
212,2020-02-04,502,1
213,2020-03-31,469,1
214,2020-02-16,492,1
215,2020-03-18,426,1
216,2020-02-19,386,1
217,2020-02-24,462,1
218,2020-01-19,415,1
219,2020-02-22,417,1
220,2020-03-23,460,1
221,2020-01-24,420,1
222,2020-01-09,463,1
223,2020-02-17,407,1
224,2020-03-18,407,1
225,2020-02-02,449,1
226,2020-01-09,533,1
227,2020-02-01,507,1
228,2020-03-21,511,1
229,2020-02-19,480,1
230,2020-03-07,481,1
231,2020-02-24,448,1
232,2020-01-14,455,1
233,2020-03-10,452,1
234,2020-03-21,435,1
235,2020-02-28,383,1
236,2020-01-23,497,1
237,2020-03-06,512,1
238,2020-02-14,461,1
239,2020-01-04,391,1
240,2020-03-28,507,1
241,2020-02-18,403,1
242,2020-01-04,423,1
243,2020-03-18,394,1
244,2020-03-25,480,1
245,2020-01-13,457,1
246,2020-03-11,462,1
247,2020-03-23,444,1
248,2020-02-22,497,1
249,2020-02-10,435,1
250,2020-01-07,405,1
251,2020-01-08,397,1
252,2020-03-06,345,1
253,2020-01-29,521,1
254,2020-03-18,492,1
255,2020-03-04,500,1
256,2020-01-12,399,1
257,2020-01-28,463,1
258,2020-01-27,412,1
259,2020-01-10,504,1
260,2020-01-26,463,1
261,2020-02-19,433,1
262,2020-02-09,400,1
263,2020-02-12,423,1
264,2020-02-12,481,1
265,2020-01-25,447,1
266,2020-03-31,382,1
267,2020-01-11,474,1
268,2020-03-11,390,1
269,2020-03-09,475,1
270,2020-02-16,461,1
271,2020-02-22,492,1
272,2020-01-03,510,1
273,2020-01-21,486,1
274,2020-03-14,503,1
275,2020-02-15,383,1
276,2020-02-08,488,1
277,2020-02-04,376,1
278,2020-03-27,452,1
279,2020-02-29,485,1
